ds,yhat_rounded,occupancy_rate_rounded,dynamic_price,estimated_revenue
2023-01-01,2.22,27.71,5337,11848.140000000001
2023-01-02,1.56,19.55,3315,5171.400000000001
2023-01-03,1.59,19.85,3315,5270.85
2023-01-04,1.47,18.43,3315,4873.05
2023-01-05,1.45,18.09,3315,4806.75
2023-01-06,1.47,18.32,3315,4873.05
2023-01-07,2.93,36.65,4485,13141.050000000001
2023-01-08,1.26,15.74,3812,4803.12
2023-01-09,0.75,9.39,3315,2486.25
2023-01-10,0.82,10.27,3315,2718.2999999999997
2023-01-11,0.68,8.54,3315,2254.2000000000003
2023-01-12,0.65,8.17,3315,2154.75
2023-01-13,0.69,8.66,3315,2287.35
2023-01-14,2.23,27.86,3812,8500.76
2023-01-15,0.57,7.08,3812,2172.8399999999997
2023-01-16,0.1,1.27,3315,331.5
2023-01-17,0.26,3.21,3315,861.9
2023-01-18,0.2,2.53,3315,663.0
2023-01-19,0.27,3.37,3315,895.0500000000001
2023-01-20,0.41,5.16,3315,1359.1499999999999
2023-01-21,2.17,27.12,3812,8272.039999999999
2023-01-22,0.48,6.05,3812,1829.76
2023-01-23,0.09,1.16,3315,298.34999999999997
2023-01-24,0.34,4.29,3315,1127.1000000000001
2023-01-25,0.36,4.54,3315,1193.3999999999999
2023-01-26,0.5,6.22,3315,1657.5
2023-01-27,0.7,8.7,3315,2320.5
2023-01-28,2.57,32.07,4485,11526.449999999999
2023-01-29,0.82,10.24,3812,3125.8399999999997
2023-01-30,0.41,5.1,3315,1359.1499999999999
2023-01-31,0.65,8.14,3315,2154.75
2023-02-01,0.64,7.96,3315,2121.6
2023-02-02,0.73,9.09,3315,2419.95
2023-02-03,0.87,10.88,3315,2884.05
2023-02-04,2.75,34.34,4485,12333.75
2023-02-05,0.84,10.51,3812,3202.08
2023-02-06,0.32,4.03,3315,1060.8
2023-02-07,0.48,6.04,3315,1591.2
2023-02-08,0.38,4.7,3315,1259.7
2023-02-09,0.38,4.77,3315,1259.7
2023-02-10,0.45,5.6,3315,1491.75
2023-02-11,2.33,29.12,3812,8881.960000000001
2023-02-12,0.28,3.5,3812,1067.3600000000001
2023-02-13,0.0,0.0,3315,0.0
2023-02-14,0.0,0.0,3315,0.0
2023-02-15,0.0,0.0,3315,0.0
2023-02-16,0.0,0.0,3315,0.0
2023-02-17,0.0,0.0,3315,0.0
2023-02-18,1.78,22.22,3812,6785.36
2023-02-19,0.0,0.0,3812,0.0
2023-02-20,0.0,0.0,3315,0.0
2023-02-21,0.0,0.0,3315,0.0
2023-02-22,0.0,0.0,3315,0.0
2023-02-23,0.0,0.0,3315,0.0
2023-02-24,0.0,0.0,3315,0.0
2023-02-25,1.78,22.22,3812,6785.36
2023-02-26,0.0,0.0,3812,0.0
2023-02-27,0.0,0.0,3315,0.0
2023-02-28,0.0,0.0,3315,0.0
2023-03-01,0.0,0.0,2550,0.0
2023-03-02,0.0,0.0,2550,0.0
2023-03-03,0.01,0.16,2550,25.5
2023-03-04,2.3,28.79,2932,6743.599999999999
2023-03-05,0.19,2.32,2932,557.08
2023-03-06,0.0,0.0,2550,0.0
2023-03-07,0.01,0.17,2550,25.5
2023-03-08,0.02,0.22,2550,51.0
2023-03-09,0.15,1.91,2550,382.5
2023-03-10,0.36,4.46,2550,918.0
2023-03-11,2.66,33.27,3450,9177.0
2023-03-12,0.39,4.91,2932,1143.48
2023-03-13,0.0,0.0,2550,0.0
2023-03-14,0.05,0.65,2550,127.5
2023-03-15,0.0,0.0,2550,0.0
2023-03-16,0.04,0.51,2550,102.0
2023-03-17,0.18,2.3,2550,459.0
2023-03-18,2.51,31.41,3450,8659.5
2023-03-19,0.12,1.53,2932,351.84
2023-03-20,0.0,0.0,2550,0.0
2023-03-21,0.0,0.0,2550,0.0
2023-03-22,0.0,0.0,2550,0.0
2023-03-23,0.0,0.0,2550,0.0
2023-03-24,0.0,0.0,2550,0.0
2023-03-25,2.44,30.55,3450,8418.0
2023-03-26,0.06,0.78,2932,175.92
2023-03-27,0.0,0.0,2550,0.0
2023-03-28,0.0,0.0,2550,0.0
2023-03-29,0.0,0.0,2550,0.0
2023-03-30,0.18,2.27,2550,459.0
2023-03-31,0.53,6.58,2550,1351.5
2023-04-01,3.22,40.27,4485,14441.7
2023-04-02,0.9,11.19,3812,3430.8
2023-04-03,0.46,5.7,3315,1524.9
2023-04-04,0.95,11.83,3315,3149.25
2023-04-05,1.1,13.75,3315,3646.5000000000005
2023-04-06,1.39,17.4,3315,4607.849999999999
2023-04-07,1.82,22.76,3315,6033.3
2023-04-08,4.62,57.81,4485,20720.7
2023-04-09,2.22,27.77,3812,8462.640000000001
2023-04-10,1.74,21.72,3315,5768.1
2023-04-11,2.18,27.31,3315,7226.700000000001
2023-04-12,2.26,28.22,3315,7491.9
2023-04-13,2.67,33.38,5460,14578.199999999999
2023-04-14,2.95,36.92,5460,16107.000000000002
2023-04-15,5.69,71.12,7221,41087.490000000005
2023-04-16,2.84,35.54,4485,12737.4
2023-04-17,2.16,27.02,3315,7160.400000000001
2023-04-18,2.43,30.39,3900,9477.0
2023-04-19,2.31,28.9,3315,7657.650000000001
2023-04-20,2.34,29.28,3315,7757.099999999999
2023-04-21,2.45,30.61,3900,9555.0
2023-04-22,5.09,63.65,5158,26254.219999999998
2023-04-23,2.21,27.63,3812,8424.52
2023-04-24,1.37,17.17,3315,4541.55
2023-04-25,1.54,19.25,3315,5105.1
2023-04-26,1.33,16.67,3315,4408.95
2023-04-27,1.31,16.38,3315,4342.650000000001
2023-04-28,1.4,17.45,3315,4641.0
2023-04-29,4.12,51.53,4485,18478.2
2023-04-30,1.2,14.95,3812,4574.4
2023-05-01,0.38,4.81,2550,969.0
2023-05-02,0.67,8.34,2550,1708.5
2023-05-03,0.57,7.15,2550,1453.4999999999998
2023-05-04,0.67,8.41,2550,1708.5
2023-05-05,1.81,22.58,2550,4615.5
2023-05-06,3.89,48.64,3450,13420.5
2023-05-07,1.05,13.13,2932,3078.6
2023-05-08,0.4,5.02,2550,1020.0
2023-05-09,0.83,10.44,2550,2116.5
2023-05-10,0.89,11.08,2550,2269.5
2023-05-11,1.13,14.18,2550,2881.4999999999995
2023-05-12,1.49,18.65,2550,3799.5
2023-05-13,4.62,57.77,3450,15939.0
2023-05-14,1.76,21.98,2932,5160.32
2023-05-15,1.11,13.93,2550,2830.5000000000005
2023-05-16,1.55,19.36,2550,3952.5
2023-05-17,1.56,19.45,2550,3978.0
2023-05-18,1.73,21.64,2550,4411.5
2023-05-19,1.99,24.82,2550,5074.5
2023-05-20,5.06,63.2,3967,20073.019999999997
2023-05-21,1.95,24.35,2932,5717.4
2023-05-22,1.1,13.69,2550,2805.0
2023-05-23,1.33,16.64,2550,3391.5
2023-05-24,1.12,13.97,2550,2856.0000000000005
2023-05-25,1.07,13.38,2550,2728.5
2023-05-26,1.1,13.81,2550,2805.0
2023-05-27,4.04,50.44,3450,13938.0
2023-05-28,0.64,8.03,2932,1876.48
2023-05-29,0.0,0.0,2550,0.0
2023-05-30,0.0,0.0,2550,0.0
2023-05-31,0.0,0.0,2550,0.0
2023-06-01,0.0,0.0,2550,0.0
2023-06-02,0.0,0.0,2550,0.0
2023-06-03,2.13,26.65,2932,6245.16
2023-06-04,0.0,0.0,2932,0.0
2023-06-05,0.0,0.0,2550,0.0
2023-06-06,0.0,0.0,2550,0.0
2023-06-07,0.0,0.0,2550,0.0
2023-06-08,0.0,0.0,2550,0.0
2023-06-09,0.0,0.0,2550,0.0
2023-06-10,1.27,15.89,2932,3723.64
2023-06-11,0.0,0.0,2932,0.0
2023-06-12,0.0,0.0,2550,0.0
2023-06-13,0.0,0.0,2550,0.0
2023-06-14,0.0,0.0,2550,0.0
2023-06-15,0.0,0.0,2550,0.0
2023-06-16,0.0,0.0,2550,0.0
2023-06-17,2.37,29.57,2932,6948.84
2023-06-18,0.0,0.0,2932,0.0
2023-06-19,0.0,0.0,2550,0.0
2023-06-20,0.0,0.0,2550,0.0
2023-06-21,0.0,0.0,2550,0.0
2023-06-22,0.02,0.28,2550,51.0
2023-06-23,0.56,6.97,2550,1428.0000000000002
2023-06-24,4.29,53.57,3450,14800.5
2023-06-25,1.05,13.14,2932,3078.6
2023-06-26,0.37,4.66,2550,943.5
2023-06-27,0.93,11.6,2550,2371.5
2023-06-28,0.98,12.23,2550,2499.0
2023-06-29,1.21,15.18,2550,3085.5
2023-06-30,1.54,19.23,2550,3927.0
2023-07-01,5.11,63.91,3967,20271.370000000003
2023-07-02,1.56,19.47,2932,4573.92
2023-07-03,0.62,7.69,2550,1581.0
2023-07-04,0.94,11.76,2550,2397.0
2023-07-05,0.76,9.55,2550,1938.0
2023-07-06,0.8,9.97,2550,2040.0
2023-07-07,0.95,11.83,2550,2422.5
2023-07-08,4.45,55.62,3450,15352.5
2023-07-09,0.7,8.74,2932,2052.4
2023-07-10,0.0,0.0,2550,0.0
2023-07-11,0.0,0.0,2550,0.0
2023-07-12,0.0,0.0,2550,0.0
2023-07-13,0.0,0.0,2550,0.0
2023-07-14,0.09,1.15,2550,229.5
2023-07-15,3.79,47.37,3450,13075.5
2023-07-16,0.11,1.32,2932,322.52
2023-07-17,0.0,0.0,2550,0.0
2023-07-18,0.0,0.0,2550,0.0
2023-07-19,0.0,0.0,2550,0.0
2023-07-20,0.03,0.39,2550,76.5
2023-07-21,0.48,6.02,2550,1224.0
2023-07-22,4.46,55.76,3450,15387.0
2023-07-23,0.88,11.05,2932,2580.16
2023-07-24,0.14,1.76,2550,357.00000000000006
2023-07-25,0.78,9.78,2550,1989.0
2023-07-26,0.91,11.39,2550,2320.5
2023-07-27,1.27,15.92,2550,3238.5
2023-07-28,1.75,21.89,2550,4462.5
2023-07-29,5.8,72.49,3967,23008.6
2023-07-30,2.09,26.06,2932,6127.879999999999
2023-07-31,2.4,30.0,3000,7200.0
2023-08-01,1.81,22.57,2550,4615.5
2023-08-02,1.76,21.96,2550,4488.0
2023-08-03,1.84,22.96,2550,4692.0
2023-08-04,2.09,26.12,2550,5329.5
2023-08-05,5.95,74.43,3967,23603.65
2023-08-06,1.89,23.65,2932,5541.48
2023-08-07,0.73,9.15,2550,1861.5
2023-08-08,0.98,12.22,2550,2499.0
2023-08-09,0.66,8.28,2550,1683.0
2023-08-10,0.58,7.2,2550,1479.0
2023-08-11,0.61,7.67,2550,1555.5
2023-08-12,4.35,54.43,4830,21010.5
2023-08-13,0.08,0.96,2932,234.56
2023-08-14,0.0,0.0,2550,0.0
2023-08-15,0.0,0.0,2550,0.0
2023-08-16,0.0,0.0,2550,0.0
2023-08-17,0.0,0.0,2550,0.0
2023-08-18,0.0,0.0,2550,0.0
2023-08-19,2.69,33.62,3450,9280.5
2023-08-20,0.0,0.0,2932,0.0
2023-08-21,0.0,0.0,2550,0.0
2023-08-22,0.0,0.0,2550,0.0
2023-08-23,0.0,0.0,2550,0.0
2023-08-24,0.0,0.0,2550,0.0
2023-08-25,0.0,0.0,2550,0.0
2023-08-26,2.78,34.76,3450,9591.0
2023-08-27,0.0,0.0,2932,0.0
2023-08-28,0.0,0.0,2550,0.0
2023-08-29,0.0,0.0,2550,0.0
2023-08-30,0.0,0.0,2550,0.0
2023-08-31,0.0,0.0,2550,0.0
2023-09-01,0.0,0.0,2550,0.0
2023-09-02,4.29,53.68,3450,14800.5
2023-09-03,0.26,3.24,2932,762.32
2023-09-04,0.0,0.0,2550,0.0
2023-09-05,0.01,0.18,2550,25.5
2023-09-06,0.04,0.49,2550,102.0
2023-09-07,0.29,3.67,2550,739.5
2023-09-08,0.66,8.19,2550,1683.0
2023-09-09,4.99,62.36,3967,19795.33
2023-09-10,0.6,7.44,2932,1759.2
2023-09-11,0.0,0.0,2550,0.0
2023-09-12,0.0,0.0,2550,0.0
2023-09-13,0.0,0.0,2550,0.0
2023-09-14,0.0,0.0,2550,0.0
2023-09-15,0.0,0.0,2550,0.0
2023-09-16,3.6,44.97,3450,12420.0
2023-09-17,0.0,0.0,2932,0.0
2023-09-18,0.0,0.0,2550,0.0
2023-09-19,0.0,0.0,2550,0.0
2023-09-20,0.0,0.0,2550,0.0
2023-09-21,0.0,0.0,2550,0.0
2023-09-22,0.0,0.0,2550,0.0
2023-09-23,1.68,20.96,2932,4925.76
2023-09-24,0.0,0.0,2932,0.0
2023-09-25,0.0,0.0,2550,0.0
2023-09-26,0.0,0.0,2550,0.0
2023-09-27,0.0,0.0,2550,0.0
2023-09-28,0.0,0.0,2550,0.0
2023-09-29,0.0,0.0,2550,0.0
2023-09-30,1.97,24.59,2932,5776.04
2023-10-01,0.0,0.0,2932,0.0
2023-10-02,0.0,0.0,2550,0.0
2023-10-03,0.0,0.0,2550,0.0
2023-10-04,0.0,0.0,2550,0.0
2023-10-05,0.0,0.0,2550,0.0
2023-10-06,0.0,0.0,2550,0.0
2023-10-07,5.11,63.87,3967,20271.370000000003
2023-10-08,1.04,13.04,2932,3049.28
2023-10-09,0.45,5.62,2550,1147.5
2023-10-10,1.54,19.31,2550,3927.0
2023-10-11,1.99,24.89,2550,5074.5
2023-10-12,2.71,33.81,3000,8130.0
2023-10-13,3.55,44.35,3000,10650.0
2023-10-14,8.0,100.0,4312,34496.0
2023-10-15,4.39,54.92,3450,15145.499999999998
2023-10-16,3.53,44.14,3000,10590.0
2023-10-17,4.33,54.19,3000,12990.0
2023-10-18,4.44,55.48,3000,13320.000000000002
2023-10-19,4.78,59.78,3000,14340.0
2023-10-20,5.23,65.44,3450,18043.5
2023-10-21,8.0,100.0,4312,34496.0
2023-10-22,5.26,65.77,3967,20866.42
2023-10-23,4.03,50.33,3000,12090.0
2023-10-24,4.4,55.03,3000,13200.000000000002
2023-10-25,4.15,51.82,3000,12450.000000000002
2023-10-26,4.17,52.11,3000,12510.0
2023-10-27,4.34,54.31,3000,13020.0
2023-10-28,8.0,100.0,4312,34496.0
2023-10-29,3.95,49.4,3450,13627.5
2023-10-30,2.52,31.44,3000,7560.0
2023-10-31,2.88,35.95,3000,8640.0
2023-11-01,2.59,32.44,3000,7770.0
2023-11-02,2.65,33.13,3000,7950.0
2023-11-03,2.91,36.36,3000,8730.0
2023-11-04,7.81,97.57,4312,33676.72
2023-11-05,2.79,34.87,3450,9625.5
2023-11-06,1.52,18.95,2550,3876.0
2023-11-07,2.09,26.11,2550,5329.5
2023-11-08,2.02,25.26,2550,5151.0
2023-11-09,2.3,28.72,2550,5865.0
2023-11-10,2.78,34.69,3000,8340.0
2023-11-11,7.95,99.39,4312,34280.4
2023-11-12,3.03,37.91,3450,10453.5
2023-11-13,1.89,23.62,2550,4819.5
2023-11-14,2.59,32.34,3000,7770.0
2023-11-15,2.6,32.45,3000,7800.0
2023-11-16,2.91,36.41,3000,8730.0
2023-11-17,3.39,42.38,3000,10170.0
2023-11-18,8.0,100.0,4312,34496.0
2023-11-19,3.51,43.9,3450,12109.5
2023-11-20,2.22,27.78,2550,5661.000000000001
2023-11-21,2.77,34.61,3000,8310.0
2023-11-22,2.59,32.35,3000,7770.0
2023-11-23,2.7,33.76,3000,8100.000000000001
2023-11-24,2.96,37.05,3000,8880.0
2023-11-25,8.0,100.0,4312,34496.0
2023-11-26,2.64,32.99,3450,9108.0
2023-11-27,1.12,14.01,2550,2856.0000000000005
2023-11-28,1.49,18.62,2550,3799.5
2023-11-29,1.15,14.38,2550,2932.5
2023-11-30,1.15,14.31,2550,2932.5
2023-12-01,1.34,16.71,3315,4442.1
2023-12-02,6.45,80.6,5606,36158.700000000004
2023-12-03,1.01,12.57,3812,3850.12
2023-12-04,0.0,0.0,3315,0.0
2023-12-05,0.12,1.45,4641,556.92
2023-12-06,0.0,0.0,3315,0.0
2023-12-07,0.13,1.62,3315,430.95
2023-12-08,0.61,7.62,3315,2022.1499999999999
2023-12-09,6.12,76.53,5158,31566.96
2023-12-10,0.85,10.56,5337,4536.45
2023-12-11,0.0,0.0,3315,0.0
2023-12-12,0.77,9.6,3315,2552.55
2023-12-13,1.01,12.63,3315,3348.15
2023-12-14,1.64,20.54,3315,5436.599999999999
2023-12-15,2.51,31.35,3900,9789.0
2023-12-16,8.0,100.0,5606,44848.0
2023-12-17,3.53,44.07,4485,15832.05
2023-12-18,2.68,33.45,3900,10452.0
2023-12-19,3.82,47.7,3900,14898.0
2023-12-20,4.22,52.69,3900,16458.0
2023-12-21,4.94,61.79,4485,22155.9
2023-12-22,5.84,72.98,4485,26192.399999999998
2023-12-23,8.0,100.0,5606,44848.0
2023-12-24,6.69,83.63,5606,37504.14
2023-12-25,5.63,70.43,4485,25250.55
2023-12-26,6.53,81.63,4875,31833.75
2023-12-27,6.62,82.69,4875,32272.5
2023-12-28,6.98,87.27,4875,34027.5
2023-12-29,8.0,100.0,4875,39000.0
2023-12-30,8.0,100.0,5606,44848.0
2023-12-31,8.0,100.0,7849,62792.0
