,date,actual,forecast,error,abs_error,percentage_error
2024-01-01,2024-01-01,0.0,0.2074426371991327,-0.2074426371991327,0.2074426371991327,inf
2024-01-02,2024-01-02,0.0,0.2021313098870702,-0.2021313098870702,0.2021313098870702,inf
2024-01-03,2024-01-03,0.0,0.2018459871628681,-0.2018459871628681,0.2018459871628681,inf
2024-01-04,2024-01-04,0.12,0.20156106719199002,-0.08156106719199002,0.08156106719199002,67.96755599332502
2024-01-05,2024-01-05,0.25,0.201276549405921,0.04872345059407901,0.04872345059407901,19.489380237631604
2024-01-06,2024-01-06,0.25,0.20099243323694854,0.04900756676305146,0.04900756676305146,19.603026705220582
2024-01-07,2024-01-07,0.12,0.20070871811816157,-0.08070871811816158,0.08070871811816158,67.25726509846798
2024-01-08,2024-01-08,0.0,0.2004254034834492,-0.2004254034834492,0.2004254034834492,inf
2024-01-09,2024-01-09,0.0,0.20014248876749968,-0.20014248876749968,0.20014248876749968,inf
2024-01-10,2024-01-10,0.12,0.19985997340579922,-0.07985997340579923,0.07985997340579923,66.54997783816603
2024-01-11,2024-01-11,0.0,0.1995778568346309,-0.1995778568346309,0.1995778568346309,inf
2024-01-12,2024-01-12,0.0,0.19929613849107347,-0.19929613849107347,0.19929613849107347,inf
2024-01-13,2024-01-13,0.12,0.19901481781300037,-0.07901481781300038,0.07901481781300038,65.84568151083366
2024-01-14,2024-01-14,0.0,0.19873389423907847,-0.19873389423907847,0.19873389423907847,inf
2024-01-15,2024-01-15,0.0,0.198453367208767,-0.198453367208767,0.198453367208767,inf
2024-01-16,2024-01-16,0.75,0.19817323616231644,0.5518267638376836,0.5518267638376836,73.57690184502448
2024-01-17,2024-01-17,0.0,0.1978935005407674,-0.1978935005407674,0.1978935005407674,inf
2024-01-18,2024-01-18,0.12,0.1976141597859495,-0.07761415978594952,0.07761415978594952,64.67846648829126
2024-01-19,2024-01-19,0.12,0.1973352133404803,-0.0773352133404803,0.0773352133404803,64.44601111706692
2024-01-20,2024-01-20,0.25,0.19705666064776403,0.05294333935223597,0.05294333935223597,21.17733574089439
2024-01-21,2024-01-21,0.0,0.1967785011519907,-0.1967785011519907,0.1967785011519907,inf
2024-01-22,2024-01-22,0.0,0.19650073429813483,-0.19650073429813483,0.19650073429813483,inf
2024-01-23,2024-01-23,0.0,0.19622335953195447,-0.19622335953195447,0.19622335953195447,inf
2024-01-24,2024-01-24,0.12,0.19594637629998993,-0.07594637629998993,0.07594637629998993,63.28864691665827
2024-01-25,2024-01-25,0.0,0.1956697840495628,-0.1956697840495628,0.1956697840495628,inf
2024-01-26,2024-01-26,0.0,0.19539358222877487,-0.19539358222877487,0.19539358222877487,inf
2024-01-27,2024-01-27,0.0,0.1951177702865069,-0.1951177702865069,0.1951177702865069,inf
2024-01-28,2024-01-28,0.0,0.19484234767241762,-0.19484234767241762,0.19484234767241762,inf
2024-01-29,2024-01-29,0.0,0.19456731383694262,-0.19456731383694262,0.19456731383694262,inf
2024-01-30,2024-01-30,0.0,0.1942926682312932,-0.1942926682312932,0.1942926682312932,inf
2024-01-31,2024-01-31,0.0,0.19401841030745537,-0.19401841030745537,0.19401841030745537,inf
2024-02-01,2024-02-01,0.0,0.19374453951818865,-0.19374453951818865,0.19374453951818865,inf
2024-02-02,2024-02-02,0.12,0.19347105531702508,-0.07347105531702508,0.07347105531702508,61.225879430854235
2024-02-03,2024-02-03,0.0,0.193197957158268,-0.193197957158268,0.193197957158268,inf
2024-02-04,2024-02-04,0.0,0.19292524449699117,-0.19292524449699117,0.19292524449699117,inf
2024-02-05,2024-02-05,0.0,0.1926529167890374,-0.1926529167890374,0.1926529167890374,inf
2024-02-06,2024-02-06,0.0,0.1923809734910177,-0.1923809734910177,0.1923809734910177,inf
2024-02-07,2024-02-07,0.0,0.19210941406031012,-0.19210941406031012,0.19210941406031012,inf
2024-02-08,2024-02-08,0.0,0.19183823795505864,-0.19183823795505864,0.19183823795505864,inf
2024-02-09,2024-02-09,0.0,0.19156744463417208,-0.19156744463417208,0.19156744463417208,inf
2024-02-10,2024-02-10,0.0,0.1912970335573231,-0.1912970335573231,0.1912970335573231,inf
2024-02-11,2024-02-11,0.0,0.19102700418494706,-0.19102700418494706,0.19102700418494706,inf
2024-02-12,2024-02-12,0.0,0.1907573559782409,-0.1907573559782409,0.1907573559782409,inf
2024-02-13,2024-02-13,0.0,0.19048808839916218,-0.19048808839916218,0.19048808839916218,inf
2024-02-14,2024-02-14,0.0,0.1902192009104279,-0.1902192009104279,0.1902192009104279,inf
2024-02-15,2024-02-15,0.5,0.18995069297551356,0.3100493070244864,0.3100493070244864,62.00986140489728
2024-02-16,2024-02-16,0.0,0.1896825640586519,-0.1896825640586519,0.1896825640586519,inf
2024-02-17,2024-02-17,0.0,0.18941481362483195,-0.18941481362483195,0.18941481362483195,inf
2024-02-18,2024-02-18,0.12,0.189147441139798,-0.06914744113979801,0.06914744113979801,57.62286761649834
2024-02-19,2024-02-19,0.0,0.18888044607004847,-0.18888044607004847,0.18888044607004847,inf
2024-02-20,2024-02-20,0.0,0.18861382788283482,-0.18861382788283482,0.18861382788283482,inf
2024-02-21,2024-02-21,0.0,0.1883475860461605,-0.1883475860461605,0.1883475860461605,inf
2024-02-22,2024-02-22,0.0,0.18808172002878,-0.18808172002878,0.18808172002878,inf
2024-02-23,2024-02-23,0.0,0.18781622930019762,-0.18781622930019762,0.18781622930019762,inf
2024-02-24,2024-02-24,1.0,0.18755111333066654,0.8124488866693335,0.8124488866693335,81.24488866693335
2024-02-25,2024-02-25,0.0,0.1872863715911877,-0.1872863715911877,0.1872863715911877,inf
2024-02-26,2024-02-26,0.12,0.1870220035535087,-0.06702200355350871,0.06702200355350871,55.851669627923926
2024-02-27,2024-02-27,0.0,0.18675800869012293,-0.18675800869012293,0.18675800869012293,inf
2024-02-28,2024-02-28,0.0,0.1864943864742683,-0.1864943864742683,0.1864943864742683,inf
2024-02-29,2024-02-29,0.0,0.18623113637992633,-0.18623113637992633,0.18623113637992633,inf
2024-03-01,2024-03-01,0.0,0.185968257881821,-0.185968257881821,0.185968257881821,inf
2024-03-02,2024-03-02,0.0,0.18570575045541782,-0.18570575045541782,0.18570575045541782,inf
2024-03-03,2024-03-03,0.0,0.18544361357692266,-0.18544361357692266,0.18544361357692266,inf
2024-03-04,2024-03-04,0.12,0.18518184672328078,-0.06518184672328078,0.06518184672328078,54.318205602734
2024-03-05,2024-03-05,0.0,0.18492044937217578,-0.18492044937217578,0.18492044937217578,inf
2024-03-06,2024-03-06,0.25,0.18465942100202853,0.06534057899797147,0.06534057899797147,26.136231599188587
2024-03-07,2024-03-07,0.5,0.1843987610919962,0.3156012389080038,0.3156012389080038,63.12024778160076
2024-03-08,2024-03-08,0.38,0.1841384691219711,0.1958615308780289,0.1958615308780289,51.542508125797085
2024-03-09,2024-03-09,0.12,0.1838785445725797,-0.06387854457257972,0.06387854457257972,53.23212047714977
2024-03-10,2024-03-10,0.0,0.1836189869251817,-0.1836189869251817,0.1836189869251817,inf
2024-03-11,2024-03-11,0.0,0.18335979566186877,-0.18335979566186877,0.18335979566186877,inf
2024-03-12,2024-03-12,0.0,0.18310097026546376,-0.18310097026546376,0.18310097026546376,inf
2024-03-13,2024-03-13,0.0,0.18284251021951947,-0.18284251021951947,0.18284251021951947,inf
2024-03-14,2024-03-14,0.0,0.18258441500831774,-0.18258441500831774,0.18258441500831774,inf
2024-03-15,2024-03-15,0.12,0.18232668411686836,-0.06232668411686837,0.06232668411686837,51.93890343072365
2024-03-16,2024-03-16,0.25,0.18206931703090812,0.06793068296909188,0.06793068296909188,27.172273187636755
2024-03-17,2024-03-17,0.12,0.18181231323689967,-0.061812313236899674,0.061812313236899674,51.510261030749724
2024-03-18,2024-03-18,0.12,0.18155567222203056,-0.061555672222030566,0.061555672222030566,51.296393518358805
2024-03-19,2024-03-19,0.12,0.18129939347421226,-0.06129939347421226,0.06129939347421226,51.082827895176884
2024-03-20,2024-03-20,0.0,0.18104347648207902,-0.18104347648207902,0.18104347648207902,inf
2024-03-21,2024-03-21,0.0,0.18078792073498698,-0.18078792073498698,0.18078792073498698,inf
2024-03-22,2024-03-22,0.0,0.18053272572301304,-0.18053272572301304,0.18053272572301304,inf
2024-03-23,2024-03-23,0.62,0.18027789093695393,0.4397221090630461,0.4397221090630461,70.92292081662033
2024-03-24,2024-03-24,0.12,0.18002341586832513,-0.06002341586832513,0.06002341586832513,50.01951322360427
2024-03-25,2024-03-25,0.0,0.1797693000093599,-0.1797693000093599,0.1797693000093599,inf
2024-03-26,2024-03-26,0.0,0.17951554285300825,-0.17951554285300825,0.17951554285300825,inf
2024-03-27,2024-03-27,0.0,0.17926214389293593,-0.17926214389293593,0.17926214389293593,inf
2024-03-28,2024-03-28,0.0,0.1790091026235234,-0.1790091026235234,0.1790091026235234,inf
2024-03-29,2024-03-29,0.0,0.17875641853986485,-0.17875641853986485,0.17875641853986485,inf
2024-03-30,2024-03-30,0.0,0.17850409113776716,-0.17850409113776716,0.17850409113776716,inf
2024-03-31,2024-03-31,0.12,0.17825211991374895,-0.058252119913748956,0.058252119913748956,48.543433261457466
2024-04-01,2024-04-01,0.0,0.17800050436503953,-0.17800050436503953,0.17800050436503953,inf
2024-04-02,2024-04-02,0.0,0.17774924398957787,-0.17774924398957787,0.17774924398957787,inf
2024-04-03,2024-04-03,0.0,0.17749833828601166,-0.17749833828601166,0.17749833828601166,inf
2024-04-04,2024-04-04,0.0,0.17724778675369632,-0.17724778675369632,0.17724778675369632,inf
2024-04-05,2024-04-05,0.0,0.17699758889269393,-0.17699758889269393,0.17699758889269393,inf
2024-04-06,2024-04-06,0.38,0.17674774420377223,0.20325225579622777,0.20325225579622777,53.48743573584941
2024-04-07,2024-04-07,0.25,0.17649825218840376,0.07350174781159624,0.07350174781159624,29.400699124638496
2024-04-08,2024-04-08,0.38,0.17624911234876467,0.20375088765123534,0.20375088765123534,53.61865464506192
2024-04-09,2024-04-09,0.38,0.17600032418773387,0.20399967581226613,0.20399967581226613,53.68412521375424
2024-04-10,2024-04-10,0.38,0.17575188720889198,0.20424811279110802,0.20424811279110802,53.74950336608105
2024-04-11,2024-04-11,0.38,0.17550380091652037,0.20449619908347963,0.20449619908347963,53.81478923249464
2024-04-12,2024-04-12,0.38,0.17525606481560013,0.20474393518439987,0.20474393518439987,53.87998294326313
2024-04-13,2024-04-13,0.62,0.1750086784118111,0.4449913215881889,0.4449913215881889,71.7727938045466
2024-04-14,2024-04-14,0.5,0.17476164121153093,0.3252383587884691,0.3252383587884691,65.04767175769382
2024-04-15,2024-04-15,0.25,0.17451495272183398,0.07548504727816602,0.07548504727816602,30.194018911266408
2024-04-16,2024-04-16,0.25,0.1742686124504905,0.0757313875495095,0.0757313875495095,30.292555019803803
2024-04-17,2024-04-17,0.0,0.1740226199059655,-0.1740226199059655,0.1740226199059655,inf
2024-04-18,2024-04-18,0.0,0.1737769745974178,-0.1737769745974178,0.1737769745974178,inf
2024-04-19,2024-04-19,0.0,0.17353167603469916,-0.17353167603469916,0.17353167603469916,inf
2024-04-20,2024-04-20,0.0,0.17328672372835316,-0.17328672372835316,0.17328672372835316,inf
2024-04-21,2024-04-21,0.0,0.1730421171896143,-0.1730421171896143,0.1730421171896143,inf
2024-04-22,2024-04-22,0.0,0.17279785593040697,-0.17279785593040697,0.17279785593040697,inf
2024-04-23,2024-04-23,0.0,0.17255393946334457,-0.17255393946334457,0.17255393946334457,inf
2024-04-24,2024-04-24,0.0,0.17231036730172847,-0.17231036730172847,0.17231036730172847,inf
2024-04-25,2024-04-25,0.0,0.17206713895954703,-0.17206713895954703,0.17206713895954703,inf
2024-04-26,2024-04-26,0.0,0.17182425395147466,-0.17182425395147466,0.17182425395147466,inf
2024-04-27,2024-04-27,0.0,0.17158171179287082,-0.17158171179287082,0.17158171179287082,inf
2024-04-28,2024-04-28,0.0,0.17133951199977912,-0.17133951199977912,0.17133951199977912,inf
2024-04-29,2024-04-29,0.0,0.17109765408892627,-0.17109765408892627,0.17109765408892627,inf
2024-04-30,2024-04-30,0.0,0.17085613757772117,-0.17085613757772117,0.17085613757772117,inf
2024-05-01,2024-05-01,0.0,0.17061496198425394,-0.17061496198425394,0.17061496198425394,inf
2024-05-02,2024-05-02,0.12,0.1703741268272949,-0.05037412682729492,0.05037412682729492,41.97843902274577
2024-05-03,2024-05-03,0.0,0.17013363162629375,-0.17013363162629375,0.17013363162629375,inf
2024-05-04,2024-05-04,0.0,0.16989347590137843,-0.16989347590137843,0.16989347590137843,inf
2024-05-05,2024-05-05,0.0,0.16965365917335432,-0.16965365917335432,0.16965365917335432,inf
2024-05-06,2024-05-06,0.0,0.16941418096370317,-0.16941418096370317,0.16941418096370317,inf
2024-05-07,2024-05-07,0.0,0.16917504079458223,-0.16917504079458223,0.16917504079458223,inf
2024-05-08,2024-05-08,0.0,0.16893623818882322,-0.16893623818882322,0.16893623818882322,inf
2024-05-09,2024-05-09,0.38,0.16869777266993147,0.21130222733006854,0.21130222733006854,55.605849297386456
2024-05-10,2024-05-10,0.38,0.16845964376208486,0.21154035623791514,0.21154035623791514,55.66851479945135
2024-05-11,2024-05-11,0.25,0.16822185099013295,0.08177814900986705,0.08177814900986705,32.71125960394682
2024-05-12,2024-05-12,0.0,0.16798439387959604,-0.16798439387959604,0.16798439387959604,inf
2024-05-13,2024-05-13,0.0,0.16774727195666414,-0.16774727195666414,0.16774727195666414,inf
2024-05-14,2024-05-14,0.0,0.1675104847481961,-0.1675104847481961,0.1675104847481961,inf
2024-05-15,2024-05-15,0.12,0.16727403178171865,-0.047274031781718656,0.047274031781718656,39.39502648476555
2024-05-16,2024-05-16,0.12,0.16703791258542544,-0.047037912585425445,0.047037912585425445,39.19826048785454
2024-05-17,2024-05-17,0.12,0.1668021266881761,-0.0468021266881761,0.0468021266881761,39.00177224014675
2024-05-18,2024-05-18,0.12,0.16656667361949531,-0.04656667361949532,0.04656667361949532,38.805561349579435
2024-05-19,2024-05-19,0.12,0.1663315529095719,-0.046331552909571916,0.046331552909571916,38.609627424643264
2024-05-20,2024-05-20,0.12,0.16609676408925783,-0.046096764089257836,0.046096764089257836,38.41397007438153
2024-05-21,2024-05-21,0.0,0.1658623066900673,-0.1658623066900673,0.1658623066900673,inf
2024-05-22,2024-05-22,0.0,0.16562818024417578,-0.16562818024417578,0.16562818024417578,inf
2024-05-23,2024-05-23,0.0,0.1653943842844192,-0.1653943842844192,0.1653943842844192,inf
2024-05-24,2024-05-24,0.0,0.1651609183442928,-0.1651609183442928,0.1651609183442928,inf
2024-05-25,2024-05-25,0.12,0.16492778195795046,-0.04492778195795047,0.04492778195795047,37.43981829829206
2024-05-26,2024-05-26,0.0,0.16469497466020355,-0.16469497466020355,0.16469497466020355,inf
2024-05-27,2024-05-27,0.0,0.1644624959865201,-0.1644624959865201,0.1644624959865201,inf
2024-05-28,2024-05-28,0.0,0.16423034547302387,-0.16423034547302387,0.16423034547302387,inf
2024-05-29,2024-05-29,0.0,0.1639985226564934,-0.1639985226564934,0.1639985226564934,inf
2024-05-30,2024-05-30,0.25,0.1637670270743611,0.08623297292563889,0.08623297292563889,34.493189170255555
2024-05-31,2024-05-31,0.12,0.16353585826471237,-0.043535858264712374,0.043535858264712374,36.27988188726031
2024-06-01,2024-06-01,0.0,0.16330501576628456,-0.16330501576628456,0.16330501576628456,inf
2024-06-02,2024-06-02,0.12,0.1630744991184662,-0.0430744991184662,0.0430744991184662,35.895415932055165
2024-06-03,2024-06-03,0.0,0.16284430786129594,-0.16284430786129594,0.16284430786129594,inf
2024-06-04,2024-06-04,0.0,0.16261444153546176,-0.16261444153546176,0.16261444153546176,inf
2024-06-05,2024-06-05,0.0,0.16238489968229994,-0.16238489968229994,0.16238489968229994,inf
2024-06-06,2024-06-06,0.0,0.16215568184379425,-0.16215568184379425,0.16215568184379425,inf
2024-06-07,2024-06-07,0.0,0.16192678756257492,-0.16192678756257492,0.16192678756257492,inf
2024-06-08,2024-06-08,0.0,0.16169821638191784,-0.16169821638191784,0.16169821638191784,inf
2024-06-09,2024-06-09,0.0,0.16146996784574358,-0.16146996784574358,0.16146996784574358,inf
2024-06-10,2024-06-10,0.12,0.16124204149861648,-0.04124204149861649,0.04124204149861649,34.368367915513744
2024-06-11,2024-06-11,0.12,0.1610144368857438,-0.0410144368857438,0.0410144368857438,34.178697404786504
2024-06-12,2024-06-12,0.12,0.16078715355297474,-0.04078715355297474,0.04078715355297474,33.989294627478955
2024-06-13,2024-06-13,0.12,0.16056019104679958,-0.04056019104679959,0.04056019104679959,33.800159205666326
2024-06-14,2024-06-14,0.0,0.16033354891434876,-0.16033354891434876,0.16033354891434876,inf
2024-06-15,2024-06-15,0.0,0.16010722670339197,-0.16010722670339197,0.16010722670339197,inf
2024-06-16,2024-06-16,0.0,0.15988122396233728,-0.15988122396233728,0.15988122396233728,inf
2024-06-17,2024-06-17,0.0,0.15965554024023015,-0.15965554024023015,0.15965554024023015,inf
2024-06-18,2024-06-18,0.0,0.1594301750867527,-0.1594301750867527,0.1594301750867527,inf
2024-06-19,2024-06-19,0.0,0.1592051280522226,-0.1592051280522226,0.1592051280522226,inf
2024-06-20,2024-06-20,0.0,0.1589803986875923,-0.1589803986875923,0.1589803986875923,inf
2024-06-21,2024-06-21,0.0,0.15875598654444822,-0.15875598654444822,0.15875598654444822,inf
2024-06-22,2024-06-22,0.0,0.1585318911750096,-0.1585318911750096,0.1585318911750096,inf
2024-06-23,2024-06-23,0.0,0.15830811213212784,-0.15830811213212784,0.15830811213212784,inf
2024-06-24,2024-06-24,0.0,0.15808464896928548,-0.15808464896928548,0.15808464896928548,inf
2024-06-25,2024-06-25,0.0,0.1578615012405954,-0.1578615012405954,0.1578615012405954,inf
2024-06-26,2024-06-26,0.0,0.15763866850079983,-0.15763866850079983,0.15763866850079983,inf
2024-06-27,2024-06-27,0.0,0.15741615030526956,-0.15741615030526956,0.15741615030526956,inf
2024-06-28,2024-06-28,0.0,0.15719394621000296,-0.15719394621000296,0.15719394621000296,inf
2024-06-29,2024-06-29,0.0,0.15697205577162518,-0.15697205577162518,0.15697205577162518,inf
